Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-125.13845	343.67294	-3.049202	-2301.369	-113.34939	160.22766	-3.4698007	-513.40784	56.567165	41.9	3999	-8.225813	2.935041	0.49043754	-14.760394	6.7825847	0.7950669	59.705020904541016
2	-94.82506	207.52553	-2.1613994	-1326.6453	-27.344116	41.947617	-3.4144092	-133.05568	42.734695	9.3	7999	-9.579708	1.983425	-0.24039826	-14.531414	7.521042	1.6267372	115.03637170791626
3	-60.277443	117.40895	-2.4728217	-774.67456	-4.0906916	1.5972553	-2.9835014	-8.406708	26.62069	1.1	11999	-12.279288	3.4855533	1.4795401	-22.599485	10.651145	3.9218423	172.41134548187256
4	-81.226	194.66423	-2.474316	-1673.4805	-112.15576	217.65149	-3.4607546	-744.7156	37.836365	57.7	15999	-21.78752	4.9376965	2.9863396	-32.9365	20.4813	10.636423	237.65011143684387
5	-31.655935	74.731926	-2.3337405	-573.02344	-126.49174	218.40958	-3.0364215	-632.84985	14.035088	51.9	19999	-24.579813	4.811729	19.591854	-33.37674	23.03228	13.927846	303.82353115081787
6	-17.553867	36.888046	-2.5821273	-371.95084	-71.91778	138.41034	-3.1221688	-398.24384	6.75043	27.4	23999	-22.852697	4.818722	13.58162	-31.736506	21.338245	14.964584	371.7606751918793
7	-13.263712	24.810709	-2.420656	-246.84714	-36.750378	45.949024	-3.216086	-143.01134	4.932039	14.5	27999	-19.74971	4.7177477	6.551988	-29.64905	18.27284	14.302855	442.72383213043213
8	-9.8376045	14.419747	-2.5485914	-147.56126	-472.97388	872.6041	-3.544009	-2485.5464	3.430163	188.3	31999	-17.00467	4.3629713	5.4862957	-26.518032	15.545981	12.573166	539.8214619159698
9	-7.0373173	7.8327045	-2.3210292	-95.71226	-203.40508	320.41388	-3.1939635	-927.25555	2.3074267	69.5	35999	-13.670136	3.6417332	3.6525722	-22.172668	12.211899	8.899943	629.1092534065247
10	-6.2544622	5.903199	-2.1417847	-53.11446	-105.168495	243.83046	-2.7911818	-830.2941	2.0025012	35.6	39999	-11.251165	2.9866338	1.3109668	-18.13712	9.854633	6.4931045	718.427148103714
11	-5.7542553	5.2073283	-2.2484987	-70.98514	-68.30598	121.03168	-3.4115546	-386.70584	1.8057814	24.4	43999	-9.720817	2.637807	1.9154919	-15.718004	8.354047	4.9414625	807.8109498023987
12	-5.436437	4.458756	-2.3026774	-58.5778	-42.04904	51.707367	-3.261001	-137.21533	1.6723778	14.8	47999	-8.978356	2.4977725	1.0447686	-14.272814	7.702129	4.3695965	896.5446357727051
13	-5.044582	3.8368948	-2.1481044	-58.50603	-70.80654	132.28401	-3.0930378	-419.36765	1.540832	25.6	51999	-8.574049	2.5165346	0.1231499	-13.85095	7.3446503	4.1580477	989.3824679851532
14	-4.7847376	3.374007	-1.991042	-47.951694	-98.40669	251.7571	-2.9551678	-852.0821	1.4391649	33.2	55999	-8.124636	2.486762	0.5019669	-13.432972	6.944282	3.8347547	1085.3302156925201
15	-4.642337	2.8029459	-2.3943307	-38.89266	-66.22273	116.336975	-3.0210166	-321.90573	1.3838174	23.3	59999	-7.7205024	2.4130847	2.4003997	-13.304497	6.5886884	3.5743792	1178.319346189499
16	-4.486293	2.668454	-2.1995456	-35.399677	-42.334656	55.22922	-3.0553102	-155.26701	1.3400335	16.9	63999	-7.44369	2.38963	-0.49269205	-13.047746	6.366237	3.4430041	1270.2120294570923
17	-4.3119707	2.3864982	-2.3166611	-31.619268	-157.4341	169.14845	-3.1920042	-565.1149	1.29	56.5	67999	-7.1597314	2.3352802	-0.27721384	-12.626965	6.1199393	3.3149333	1367.9857649803162
18	-4.3126493	2.3952167	-2.219536	-32.909016	-59.00775	95.19298	-3.204	-309.008	1.2960804	24.3	71999	-6.9561906	2.3290207	-0.32500553	-13.471926	5.9553595	3.1626606	1463.2357814311981
